CDRMASK,BILLING_CODE,BLIND,CITIZEN_NUMBER,CUSTOMER_NUMBER,CUSTOMER_SOURCE_CREATION_DATE,CUSTOMER_SOURCE_ID_FROM_SOURCE,DESCRIPTION,ERP_ADDRESS_ID,ERP_CUSTOMER_ID,EXEMPT_FROM_STAMP_TAX,EXEMPT_FROM_STAMP_TAX_END,EXEMPT_FROM_STAMP_TAX_STRT,FIRST_NAME,GIB_STATUS,INCLUDED_FORTTSPINTEGRATION,LANGUAGE,LAST_NAME,LOCKED,LOSS_DATE,MAXIMO_CODE,MERNIS_STATUS,NATIONALITY,OIV_EXEMPT,OIV_EXEMPTION_END,OIV_EXEMPTION_START,OVERDUE_INTEREST_EXEMPTION,OVERDUE_INTEREST_EXEMP_END,OVERDUE_INTEREST_EXEMP_STRT,RISK_STATUS,START_DATE,TURKCELL_CUSTOMER_NUMBER,VAT_EXEMPT,VAT_EXEMPTION_END,VAT_EXEMPTION_START,ID,CUSTOMER_DETAIL,CUSTOMER_SEGMENT,CUSTOMER_SUB_SEGMENT,DEFAULT_BILL_ACCOUNT,FINANCIAL_SEGMENT_ID,MIG_STATUS,MIG_DATE,ONEDESK_CODE,EAM_SEQUENCE_ID,SHOW_ERP,BILLING_LANGUAGE,HANDICAPPED,GENERAL_DECLARATION,PRIMARY_RESPONSIBLE_POSITIONID,SILENT
,,NO,33909787378,23658941,,,,,,,,,EWPZF,,,4345B931-9F8F-4F73-9A8F-54F7088018B8,XPRN,NO,,,CONFIRMED,,,,,,,,,,,,,,74031B0E-B819-4EA7-A49B-EE26441605B7,9E7139CF-B0A7-4224-8217-29E6C86A607D,84FBD0B9-5D1A-4A1B-8B34-E1851A111DFD,,,,,,,,,,,NO,,
,,NO,23890788927,23658927,,,,,,,,,IDBİ,,,4345B931-9F8F-4F73-9A8F-54F7088018B8,LAKFZ,NO,,,CONFIRMED,,,,,,,,,,,,,,89AE0EB8-4624-483A-8DFA-820F2060B398,1732C5E7-A2AC-4329-84D8-5ABE6049D7D8,84FBD0B9-5D1A-4A1B-8B34-E1851A111DFD,,,,,,,,,,,NO,,
,,NO,54011465939,23658921,,,,,,,,,A.B.Ceylan,,,4345B931-9F8F-4F73-9A8F-54F7088018B8,Y.T.ALEX,NO,,,CONFIRMED,,,,,,,,,,,,,,DCF04BE3-55CE-4262-9F9A-D24C6FFEA454,9C3EE5A7-5F4A-4D56-A1FF-2F7FAA5DAD65,84FBD0B9-5D1A-4A1B-8B34-E1851A111DFD,,,,,,,,,,,NO,,
,,NO,33877704741,23658803,,,,,,,,,VYKTT,,,4345B931-9F8F-4F73-9A8F-54F7088018B8,TÖRLÜ,NO,,,CONFIRMED,,,,,,,,,,,,,,F16ABE05-0D77-4DFF-A182-4EF32D182952,B7671756-43A3-43CA-954D-B2DB5F1C8897,84FBD0B9-5D1A-4A1B-8B34-E1851A111DFD,,,,,,,,,,,NO,,
,,NO,27814592447,23658924,,,,,,,,,WVJHTFU,,,4345B931-9F8F-4F73-9A8F-54F7088018B8,WSQVJLSIĞZE,NO,,,CONFIRMED,,,,,,,,,,,,,,38590198-F637-4A69-AB1E-580E67590E0A,15DDED06-9403-40E1-A6EF-3EE403AE431A,84FBD0B9-5D1A-4A1B-8B34-E1851A111DFD,,,,,,,,,,,NO,,
,,NO,38911436725,23658944,,,,,,,,,ÇQĞRAYT,,,4345B931-9F8F-4F73-9A8F-54F7088018B8,XFİNMİ,NO,,,CONFIRMED,,,,,,,,,,,,,,B6781673-EA38-4B81-AE7A-7D24AC64B0FF,6241038C-7052-4833-8AAE-792ECB89DBDF,84FBD0B9-5D1A-4A1B-8B34-E1851A111DFD,,,,,,,,,,,NO,,
,,NO,21653275899,23658934,,,,,,,,,ZUAMSE ŞGESD,,,4345B931-9F8F-4F73-9A8F-54F7088018B8,FPAYG,NO,,,CONFIRMED,,,,,,,,,,,,,,79719DCD-76B6-4853-B97F-2201B0C4CC83,8E2D986C-D182-4E38-B323-60E76ED00893,84FBD0B9-5D1A-4A1B-8B34-E1851A111DFD,,,,,,,,,,,NO,,
,,NO,21669482717,23658951,,,,,,,,,TRFQTIPC TFİT,,,4345B931-9F8F-4F73-9A8F-54F7088018B8,ZWMWJŞEDL,NO,,,CONFIRMED,,,,,,,,,,,,,,A967FA01-FAA9-4BD5-9E84-0CBB38B9DE9E,CAA5FAFA-72BA-4BBB-8C0A-34364E0A5C93,84FBD0B9-5D1A-4A1B-8B34-E1851A111DFD,,,,,,,,,,,NO,,
,,NO,28472627335,23658956,,,,,,,,,MERTCAN,,,4345B931-9F8F-4F73-9A8F-54F7088018B8,BOZKURT,NO,,,CONFIRMED,,,,,,,,,,,,,,2B7D21B6-AF14-4776-9C2E-63C375059AFA,A3207696-3A3A-43B1-9A0B-89D47155B64D,84FBD0B9-5D1A-4A1B-8B34-E1851A111DFD,,,,,,,,,,,NO,,
,,NO,22220236832,23658961,,,,,,,,,WXİJ,,,97CA0093-6AFF-44BC-890A-F8F6AEB8E3C1,QGPAJ ÇRFİM,NO,,,CONFIRMED,,,,,,,,,,,,,,DFE4F32E-E074-4824-BF4D-B4A93783C711,F4F25891-D0C4-4195-A1D5-310E39024BDD,84FBD0B9-5D1A-4A1B-8B34-E1851A111DFD,,9E19573A-AFB8-4705-A16B-114A49D98585,,,,,,,,,NO,,
,,NO,22220236831,23658959,,,,,,,,,WXİJ,,,97CA0093-6AFF-44BC-890A-F8F6AEB8E3C1,QGPAJ ÇRFİM,NO,,,CONFIRMED,,,,,,,,,,,,,,D0248EEA-5EED-42F7-9DEA-AFB863BF74D2,869D941E-A0BE-42E2-B7AD-62513F94AB93,84FBD0B9-5D1A-4A1B-8B34-E1851A111DFD,,C2980C5E-DA96-451D-AF7B-5E44810557EB,,,,,,,,,NO,,
,,NO,27532532696,23658933,,,,,,,,,YWJCM,CONFIRMED,,,KJLIV,NO,,,CONFIRMED,,,,,,,,,,485847822,,,,CE823674-227A-43A1-A796-222FF682FDC8,2EE9554E-7DAA-457F-9D62-7D2DEB6FBF85,011BE316-0EEE-4E7B-B3BD-97B6E8D1DD8D,,,,,,,,,TURKISH,,NO,,
,,UNDEFINED,27210072215,23658964,,,,,,,,,MINJNJ,,,4345B931-9F8F-4F73-9A8F-54F7088018B8,ÇQFİW,NO,,,CONFIRMED,,,,,,,,,,,,,,7BDC6F0B-446B-4F59-9B88-E740B04E9917,EF2FFEEF-177B-4532-9159-E8CB9A063B66,84FBD0B9-5D1A-4A1B-8B34-E1851A111DFD,,437E5F0B-A913-4E36-8098-27020DB3C7F9,,,,,,,,,NO,,
,,NO,45073810379,23658969,,,,,,,,,ŞÜXIÜ,,,,ÜXTN,NO,,,CONFIRMED,,,,,,,,,2025-08-06 09:31:07,12355910,NO,,,CD5BA918-C286-4C9B-84AF-40702AF4689D,2AC22F8E-FA9A-422A-B4C1-97614BC84C20,84FBD0B9-5D1A-4A1B-8B34-E1851A111DFD,,,,,,,,,TURKISH,,,,
,,NO,37090033102,23658986,,,,,,,,,QSŞI,CONFIRMED,,,ÇFAZA,NO,,,CONFIRMED,,,,,,,,,,456460192,,,,691860FF-C36F-4CB6-B4E8-DAC714C256AF,4418C3A8-37A6-445C-BB9B-CBC2827BA8C3,011BE316-0EEE-4E7B-B3BD-97B6E8D1DD8D,,D69DEC47-B1AC-4328-BA05-5907DD92EEFF,,,,,,,,,,,
,,NO,37090033102,23659001,,,,,,,,,QSŞI,CONFIRMED,,,ÇFAZA,NO,,,CONFIRMED,,,,,,,,,,456460192,,,,AB55EA57-CE97-4F04-9085-BD83CB6297E1,BB7974D8-F05C-48E2-8F34-91EB661E34E6,011BE316-0EEE-4E7B-B3BD-97B6E8D1DD8D,,A0E5C567-32CC-47B1-BB7B-88EFA1E51667,,,,,,,,,,,
,,NO,48292934902,23654909,,,,,,,,,BGYİM,CONFIRMED,,,ÇGXZJFDN,NO,,,CONFIRMED,,,,,,,,,,497842798,,,,4368070E-9516-4420-AA23-E88A517D3AC2,7E623180-338A-41F4-AB65-D76976238A11,011BE316-0EEE-4E7B-B3BD-97B6E8D1DD8D,,202AB412-C70A-4964-9A48-48DAE90767BD,,,,,,,,,,,
,,YES,32060620639,23658943,,,,,,,,,CKKSX,,,,RRJYJR,NO,,,,,,,,,,,,,,,,,A8FCE948-ABB8-4236-801C-F8633BB1BED0,549419F5-198A-46D3-A25B-150254044072,84FBD0B9-5D1A-4A1B-8B34-E1851A111DFD,,66E56A73-CD82-4868-BBE2-0D44AB90BEFB,,,,,,,,,NO,,
,,NO,37090033108,23658976,,,,,,,,,QSŞI,CONFIRMED,,,ÇFAZA,NO,,,CONFIRMED,,,,,,,,,,456460192,,,,0FA69987-CAB9-4FDE-8C8E-C4728C8DAA91,682BE37A-7355-4D01-99C8-8A55F9674763,011BE316-0EEE-4E7B-B3BD-97B6E8D1DD8D,,8B6A3BE6-6071-4B2C-8150-C93E13262DD2,,,,,,,,,,,
,,UNDEFINED,27210072216,23658809,,,,,,,,,MINJNJ,,,4345B931-9F8F-4F73-9A8F-54F7088018B8,ÇQFİW,NO,,,CONFIRMED,,,,,,,,,,,,,,B0FF80E4-E1B1-404D-B51A-A27E89FD5674,0176EBC2-59A2-4C20-AFA8-70B6FA4C2D6F,84FBD0B9-5D1A-4A1B-8B34-E1851A111DFD,,D4A37B0D-EC26-4EBC-8041-0C0FD7B6B0AF,,,,,,,,,NO,,
NO,50480058,NO,28069074917,23658898,,,,,,,,,UÜŞTU,,,4345B931-9F8F-4F73-9A8F-54F7088018B8,ÇKĞSPŞ,NO,,,CONFIRMED,,,,,,,,,,,,,,C9908478-7299-46D3-94B6-6C2B6D80651C,C3AAD86E-6CF2-478B-8BB7-0712E1544199,84FBD0B9-5D1A-4A1B-8B34-E1851A111DFD,,01D8E53F-2D8C-4074-A456-516AA3FD26F6,,,,,,,,,NO,,
,50480955,YES,37505616857,23658923,,,,,,,,,AYZC,CONFIRMED,,,WYVHSY,NO,,,CONFIRMED,,,,,,,,,,491595345,,,,1E3D6428-23BD-4AC6-A46C-27B768472A0B,F5C5402D-0BC1-42E2-A704-90078965F51D,011BE316-0EEE-4E7B-B3BD-97B6E8D1DD8D,,,,,,,,,,,,,
,,NO,24743467830,23658925,,,,,,,,,YYHİM,,,4345B931-9F8F-4F73-9A8F-54F7088018B8,XRNWŞ,NO,,,CONFIRMED,,,,,,,,,,,,,,31A6E63A-B9A6-41C7-A823-F35EDA0131E0,BB34B46F-6AF0-4D30-8CA7-F22B3858B89C,84FBD0B9-5D1A-4A1B-8B34-E1851A111DFD,,,,,,,,,,,NO,,
,,NO,33909787378,23658917,,,,,,,,,EWPZF,,,4345B931-9F8F-4F73-9A8F-54F7088018B8,XPRN,NO,,,CONFIRMED,,,,,,,,,,,,,,DBB762D1-B347-4EF3-B2B8-E2141B0D9063,887A22E4-85A2-44D2-8892-E9D1F373F367,84FBD0B9-5D1A-4A1B-8B34-E1851A111DFD,,,,,,,,,,,NO,,
,,NO,58655447443,23658950,,,,,,,,,YIJRİ XALSA,,,4345B931-9F8F-4F73-9A8F-54F7088018B8,GIXZE,NO,,,CONFIRMED,,,,,,,,,,,,,,7C3489C3-987C-48FB-B04C-6F5CD44C9661,8E75567F-520C-4589-91CE-10D3A83B3D9A,84FBD0B9-5D1A-4A1B-8B34-E1851A111DFD,,,,,,,,,,,NO,,
,50480055,NO,45171212891,23658931,,,,,,,,,ENES FARUK,,,4345B931-9F8F-4F73-9A8F-54F7088018B8,UÇAKTÜRK,NO,,,CONFIRMED,,,,,,,,,,,,,,018A0A9A-11E4-44F3-AC3D-42317C7ECAD5,59ECB18A-9C43-4C33-A592-7E2B8EC3FD37,84FBD0B9-5D1A-4A1B-8B34-E1851A111DFD,,3310C493-117B-4380-BC3D-3B88DB9D70CC,,,,,,,,,NO,,
,,NO,34895068037,23658955,,,,,,,,,İHFEXİJ,,,4345B931-9F8F-4F73-9A8F-54F7088018B8,HIGBDL,NO,,,CONFIRMED,,,,,,,,,,,,,,217D8E6D-759A-4B05-A0C2-97402393E14F,3B0CDD0C-47EC-4211-8D4D-BFE7A9EFB042,84FBD0B9-5D1A-4A1B-8B34-E1851A111DFD,,0967D58D-0883-498E-8E12-0EB4961F0B42,,,,,,,,,NO,,
,,NO,26779317799,23658936,,,,,,,,,YGUHN,,,4345B931-9F8F-4F73-9A8F-54F7088018B8,ZPXXYÇCJİ,NO,,,CONFIRMED,,,,,,,,,,,,,,1CDE302A-B624-42B0-A41E-B40DF7598984,A5A3711C-4BCC-485B-9EFA-FCD486DD7E55,84FBD0B9-5D1A-4A1B-8B34-E1851A111DFD,,ACC5CF72-D292-485F-9783-CDB86FDA8654,,,,,,,,,NO,,
,,NO,27532532695,23658962,,,,,,,,,YWJCM,,,4345B931-9F8F-4F73-9A8F-54F7088018B8,KJLIV,NO,,,CONFIRMED,,,,,,,,,,,,,,7218DF07-6A00-4ABA-AB00-16300BB95B04,67723923-3353-4637-8EF5-062D62EBF6C3,84FBD0B9-5D1A-4A1B-8B34-E1851A111DFD,,115F4058-8D4B-4B02-9EA4-A9EECCAAA0F1,,,,,,,,,NO,,
,,NO,29807861036,23658942,,,,,,,,,İHFEXİJ,CONFIRMED,,,IUIFT,NO,,,CONFIRMED,,,,,,,,,,450215186,,,,1D6F40E2-C494-4915-88BD-8A01825B72DF,ED0B6145-3C9E-4B40-88BB-A6839496EBD8,011BE316-0EEE-4E7B-B3BD-97B6E8D1DD8D,,,,,,,,,,,,,
,,NO,29807861036,23658958,,,,,,,,,İHFEXİJ,CONFIRMED,,,IUIFT,NO,,,CONFIRMED,,,,,,,,,,450215186,,,,5498FCFD-5689-4600-953E-7B0D925042AF,821CD121-BA57-458D-AB9F-8C8A21FC5CBD,011BE316-0EEE-4E7B-B3BD-97B6E8D1DD8D,,,,,,,,,,,,,
,,NO,29807861036,23658935,,,,,,,,,İHFEXİJ,CONFIRMED,,,IUIFT,NO,,,CONFIRMED,,,,,,,,,,450215186,,,,8A79C722-CC22-4C31-951D-E01A78EC1DDF,4B5D3387-C5E1-423A-8085-0075E7ABBB41,011BE316-0EEE-4E7B-B3BD-97B6E8D1DD8D,,,,,,,,,,,,,
,,UNDEFINED,22908481881,23658946,,,,,,,,,SDDHC,,,4345B931-9F8F-4F73-9A8F-54F7088018B8,ÜNBPCIÇİX,NO,,,CONFIRMED,,,,,,,,,,,,,,9964F185-CA58-4A82-9FFE-008F25D1825D,DB85C6DC-4E94-44BC-BFF4-B27FB057C251,84FBD0B9-5D1A-4A1B-8B34-E1851A111DFD,,5B603EE9-569D-4714-BDBB-C0964EB61283,,,,,,,,,NO,,
,50480057,UNDEFINED,25534607373,23658973,,,,,,,,,WRKİB,,,4345B931-9F8F-4F73-9A8F-54F7088018B8,TQWLXH,NO,,,CONFIRMED,,,,,,,,,,,,,,97520ACA-335A-4813-82B3-5F71F88558E5,60A93965-CC3B-47A7-9406-5FEA187A6128,84FBD0B9-5D1A-4A1B-8B34-E1851A111DFD,,87195CA0-9686-41C2-9085-0FCDF07F295A,,,,,,,,,NO,,
,,NO,65840843133,23658887,,,,,,,,,EMHZİ,,,4345B931-9F8F-4F73-9A8F-54F7088018B8,SKZJ,NO,,,CONFIRMED,,,,,,,,,,,,,,154E1ABA-EB91-4349-BCD1-8347526CF251,D7839E63-F64C-4D64-A977-75294FC6F287,84FBD0B9-5D1A-4A1B-8B34-E1851A111DFD,,AE14EC49-AE84-4554-ACCC-E0439798E2DA,,,,,,,TURKISH,,,,
,,NO,49204708139,23658984,,,,,,,,,KCVİR,,,4345B931-9F8F-4F73-9A8F-54F7088018B8,GKIHAMD,NO,,,CONFIRMED,,,,,,,,,,,,,,1727CF56-0493-4951-927D-C91EEE8A27A5,1977AC50-0F88-4218-BFA4-4382B44C6F20,84FBD0B9-5D1A-4A1B-8B34-E1851A111DFD,,4C784586-5A12-4913-A65E-46E75D20B988,,,,,,,,,NO,,
,,NO,37090033102,23658945,,,,,,,,,QSŞI,CONFIRMED,,,ÇFAZA,NO,,,CONFIRMED,,,,,,,,,,456460192,,,,6CB01BFE-B5C3-4259-B8A6-7D5C4F8E3861,8D1AC811-6A62-45CC-9194-400A0C6DD0A7,011BE316-0EEE-4E7B-B3BD-97B6E8D1DD8D,,,,,,,,,,,,,
,,NO,37090033102,23658978,,,,,,,,,QSŞI,CONFIRMED,,,ÇFAZA,NO,,,CONFIRMED,,,,,,,,,,456460192,,,,6745A3EE-A402-411F-B047-B66517D0711C,FB1ACE71-7CB6-478D-B27F-6D2D55F26EEF,011BE316-0EEE-4E7B-B3BD-97B6E8D1DD8D,,,,,,,,,,,,,
,,NO,37090033102,23658982,,,,,,,,,QSŞI,CONFIRMED,,,ÇFAZA,NO,,,CONFIRMED,,,,,,,,,,456460192,,,,69A90B77-0456-4BAB-9187-19D78B4EB84B,60F796E5-A7FB-4331-BEE2-C966CB9C478B,011BE316-0EEE-4E7B-B3BD-97B6E8D1DD8D,,,,,,,,,,,,,
,,NO,37090033108,23658974,,,,,,,,,QSŞI,CONFIRMED,,,ÇFAZA,NO,,,CONFIRMED,,,,,,,,,,456460192,,,,478D3BE8-8D70-4FE2-9BD3-6A1CA04E26BA,E648BA26-636B-4BF1-B253-9068E2D40499,011BE316-0EEE-4E7B-B3BD-97B6E8D1DD8D,,5807E975-4802-4E01-9876-367F105F9819,,,,,,,,,,,
